,ID,Title,Year,Rating,Votes,Length,Genres
5640,TT0242888,The Sleeping Dictionary (2003),2003,6.6,3957,109 mins.,Drama|Romance
5641,TT0989000,In Search of a Midnight Kiss (2007),2007,7.3,3953,90 mins.,Comedy|Romance
5642,TT1092082,Passchendaele (2008),2008,6.7,3953,114 mins.,Drama|History|Romance|War
5643,TT0101748,Dogfight (1991),1991,7.2,3950,89 mins.,Drama|Romance|War
5644,TT0151691,My Name Is Joe (1998),1998,7.4,3948,105 mins.,Drama|Romance
5645,TT1529572,Trust (2010),2010,7.1,3946,106 mins.,Drama|Thriller
5646,TT0095488,The Lair of the White Worm (1988),1988,5.6,3938,93 mins.,Horror|Thriller
5647,TT0119843,Oscar and Lucinda (1997),1997,6.7,3936,132 mins.,Drama|Romance
5648,TT0078492,The Wild Geese (1978),1978,6.6,3935,134 mins.,Drama|Action|War|Adventure
5649,TT0092534,Allan Quatermain and the Lost City of Gold (1986),1986,3.8,3933,99 mins.,Action|Adventure|Comedy
5650,TT0053084,The Mouse That Roared (1959),1959,7.0,3932,83 mins.,Comedy|War
5651,TT0096149,Space Mutiny (1988),1988,1.8,3931,93 mins.,Action|Adventure|Romance|Sci-Fi
5652,TT0787470,Balls Out: Gary the Tennis Coach (2009),2009,5.5,3929,92 mins.,Comedy|Sport
5653,TT0111003,The Puppet Masters (1994),1994,5.7,3926,109 mins.,Horror|Sci-Fi|Thriller
5654,TT0052738,The Diary of Anne Frank (1959),1959,7.6,3922,180 mins.,Biography|Drama|History|War
5655,TT0162866,Jing Ke ci Qin Wang (1998),1998,7.3,3921,162 mins.,Drama|History
5656,TT0316188,Raising Victor Vargas (2002),2002,7.1,3921,88 mins.,Drama|Romance
5657,TT0437954,Virgin Territory (2007),2007,4.9,3920,97 mins.,Drama|Adventure|Comedy|Romance
5658,TT0449471,Catacombs (2007),2007,4.5,3917,100 mins.,Horror|Thriller
5659,TT0343788,The Hillz (2004),2004,1.7,3915,91 mins.,Crime|Drama
5660,TT0077914,Martin (1977),1977,7.1,3913,95 mins.,Drama|Horror|Thriller
5661,TT1185266,Stan Helsing (2009),2009,3.5,3912,108 mins.,Comedy|Horror
5662,TT0103129,Truly Madly Deeply (1990),1990,6.9,3908,106 mins.,Drama|Fantasy|Music|Romance
5663,TT0222850,The Broken Hearts Club: A Romantic Comedy (2000),2000,6.7,3903,94 mins.,Comedy|Drama|Romance|Sport
5664,TT0087451,The Ice Pirates (1984),1984,5.2,3901,91 mins.,Comedy|Sci-Fi|Action|Adventure
5665,TT0119784,The Night Flier (1997),1997,5.7,3899,93 mins.,Fantasy|Horror|Mystery
5666,TT0818165,The Alphabet Killer (2008),2008,5.3,3898,98 mins.,Crime|Drama|Thriller
